"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"18880133";"all";"all";"all";"| Forr att te come off Sannt Johan | | Bigann all ure blisse , | | All þatt te Laferrd Jesu Crist | | Comm till mannkinn onn eorþe , | <P_I,22> | & *con* bohhte þurrh hiss aȝhen dæþ | | Mannkinn fra deofless walde . |";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18880258";"all";"all";"all";"& all þatt blisse 0 þatt *T*-1 uss comm | | +Turrh þatt he comm onn eorþe";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18886951";"eche";"eche";"each";"winnenn eche blisse";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18913896";"mikell";"mikell";"much";"all follc iss | | Nu cumenn mikell blisse";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18921134";"mikell";"mikell";"much";"wiþþ mikell blisse";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18926374";"All";"all";"all";"| & tale off ehhte tacneþþ uss | | All þatt orrmete blisse , | <P_I,150> | 0 +Tatt *T*-1 mannkinn unnderrfeng þurrh þatt | | +Tatt Crist *ICH*-2 ras upp off dæþe , | | 0 +Tatt *T*-3 ras rihht o þehhtennde daȝȝ | | Affterr þe wukess ende , | | Swa summ 0 0 *T*-4 icc habbe shæwedd her | | Biforenn o þiss lare . |";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"18930601";"all";"all";"all";"& all þe blisse off heoffne";"blisse";"bliss";"";"1";"?";"M1";"East Midlands (Southwest Lincolnshire)";"cmorm.po.m1";"";"VERSE";"";"";"";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19029179";"litel";"litel";"little";"oc scæ hedde litel blisse mid him .";"blisse";"bliss";"";"1";"X";"M1";"EMO";"CMPETERB";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19333652";"ei";"ei";"each";"for ei hwilinde blisse her o þisse worlde";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMSAWLES";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19377855";"muchele";"muchele";"much";"to muchele blisse";"blisse";"bliss";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19378020";"muchele";"muchele";"much";"to muchele blisse";"blisse";"bliss";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19409345";"michele";"michele";"much";"Wordles song is þe herte michele blisse . 0 þe *T*-1 heo haue+d of heuenliche +dinge . and *con* ne mai þeroffe be stille . ne mid worde hem atellen .";"blisse";"bliss";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
