"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"day","l_l3",6,7,234,953,66,338,24,113,68,541,"a",0.857142857142857,0.8125,1.46633706879343,0.245540398740818,0.2458071278826,-1.12110093844109,0.195266272189349,0.196165191740413,-1.41043666644149,0.212389380530973,0.214912280701754,-1.29556550773013,0.125693160813309,0.126383763837638,-1.93331816735795,TRUE,TRUE,TRUE,TRUE,7,1298
"death","l_l3",0,0,2,134,1,25,0,0,0,25,"a",,0.5,0,0.0149253731343284,0.0185185185185185,-3.97029191355212,0.04,0.0576923076923077,-2.79320800944252,,0.5,0,0,0.0192307692307692,-3.93182563272433,FALSE,TRUE,TRUE,FALSE,0,159
"devil","l_l3",0,0,5,19,5,11,1,1,2,15,"c",,0.5,0,0.263157894736842,0.275,-0.969400557188103,0.454545454545455,0.458333333333333,-0.167054084663166,1,0.75,1.09861228866811,0.133333333333333,0.15625,-1.68639895357023,FALSE,TRUE,TRUE,FALSE,0,30
"doom","l_l3",0,0,0,4,0,1,0,0,0,1,"a",,0.5,0,0,0.1,-2.19722457733622,0,0.25,-1.09861228866811,,0.5,0,0,0.25,-1.09861228866811,FALSE,TRUE,TRUE,FALSE,0,5
"dust","l_l3",0,0,0,41,3,19,0,0,0,19,"s",,0.5,0,0,0.0119047619047619,-4.4188406077966,0.157894736842105,0.175,-1.55059741241117,,0.5,0,0,0.025,-3.66356164612965,FALSE,TRUE,TRUE,FALSE,0,60
"earth","l_l3",0,0,4,155,0,105,0,2,3,112,"s",,0.5,0,0.0258064516129032,0.0288461538461538,-3.51650822817315,0,0.00471698113207547,-5.35185813347607,0,0.166666666666667,-1.6094379124341,0.0267857142857143,0.0309734513274336,-3.44316158076119,FALSE,TRUE,TRUE,FALSE,0,260
"emperor","l_l3",0,0,4,62,0,56,0,0,4,60,"c",,0.5,0,0.0645161290322581,0.0714285714285714,-2.56494935746154,0,0.0087719298245614,-4.72738781871234,,0.5,0,0.0666666666666667,0.0737704918032787,-2.53016324137612,FALSE,TRUE,TRUE,FALSE,0,118
"enemy","l_l3",0,0,33,123,18,74,1,1,2,76,"c",,0.5,0,0.268292682926829,0.270161290322581,-0.99380441187486,0.243243243243243,0.246666666666667,-1.11646990606812,1,0.75,1.09861228866811,0.0263157894736842,0.0324675324675325,-3.39450839351136,FALSE,TRUE,TRUE,FALSE,0,197
"evil","l_l3",0,1,20,90,6,35,0,10,11,49,"a",0,0.25,-1.09861228866811,0.222222222222222,0.225274725274725,-1.23518782367386,0.171428571428571,0.180555555555556,-1.51258808644418,0,0.0454545454545455,-3.04452243772342,0.224489795918367,0.23,-1.20831120592453,TRUE,TRUE,TRUE,TRUE,1,126
"eye","l_l3",1,1,160,248,8,44,8,12,37,82,"c",1,0.75,1.09861228866811,0.645161290322581,0.644578313253012,0.595291390556187,0.181818181818182,0.188888888888889,-1.45724609709218,0.666666666666667,0.653846153846154,0.635988766719997,0.451219512195122,0.451807228915663,-0.19337139298054,TRUE,TRUE,TRUE,TRUE,1,293
