1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
19357572	many	Q	'NULL'	c1440	Northern	cmthorn.mx4	'NULL'	Handbooks, medicine	mx4	'NULL'	'NULL'	Liber de Diversis Medicinis	'NULL'	19357571	of many euylles	PP	19357573	many euylles	NP	19357574	euylles	NS	19357574	euylles	NS	19357573	many euylles	NP	19357573	many euylles	NP
19377519	alle	Q	X	'NULL'	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19377518	of alle iuele	PP	19377520	alle iuele	NP	19377521	iuele	N	19377521	iuele	N	19377520	alle iuele	NP	19377520	alle iuele	NP
19418077	non	Q	X	'NULL'	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19418078	non iuel ne non un-nut ne for+den idel	NP	19418079	non iuel	NP	19418080	iuel	N	19418080	iuel	N	19418079	non iuel	NP	19418079	non iuel	NP
19461345	sum	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19461346	sum euel o+der sum un+gelimp	NP	19461347	sum euel	NP	19461348	euel	N	19461348	euel	N	19461347	sum euel	NP	19461347	sum euel	NP
19461540	all	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19461541	all +dat euel +de mai wanden te michele gode	IP	19461542	all +dat euel	NP	19461544	euel	N	19461544	euel	N	19461542	all +dat euel	NP	19461542	all +dat euel	NP
19465614	alle	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19465613	a+geanes alle eueles	PP	19465615	alle eueles	NP	19465616	eueles	NS	19465616	eueles	NS	19465615	alle eueles	NP	19465615	alle eueles	NP
19480065	sume	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19480064	and sume euele	CONJP	19480066	sume euele	NP	19480067	euele	N	19480067	euele	N	19480066	sume euele	NP	19480066	sume euele	NP
19485293	alle	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19485292	fram alle euele	PP	19485294	alle euele	NP	19485295	euele	N	19485295	euele	N	19485294	alle euele	NP	19485294	alle euele	NP
19492455	non	Q	X	'NULL'	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19492452	" Ne scall non euel bien unpined , o+der hier o+der +dar . "	IP-MAT-SPE	19492456	non euel	NP	19492457	euel	N	19492457	euel	N	19492456	non euel	NP	19492456	non euel	NP
19524725	alle	Q	X	'NULL'	EML	CMVICES4	FRENCH	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	19524724	of alle o+tere euel , +tat is of alle synnes and of periles , in +tis world and in +tat o+tere	PP	19524726	alle o+tere euel , +tat is of alle synnes and of periles , in +tis world and in +tat o+tere	NP	19524728	euel	N	19524728	euel	N	19524726	alle o+tere euel , +tat is of alle synnes and of periles , in +tis world and in +tat o+tere	NP	19524726	alle o+tere euel , +tat is of alle synnes and of periles , in +tis world and in +tat o+tere	NP
19603486	any	Q	X	'NULL'	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19603485	for any o+ter euel	PP	19603487	any o+ter euel	NP	19603489	euel	N	19603489	euel	N	19603487	any o+ter euel	NP	19603487	any o+ter euel	NP
